Price,Close,High,Low,Open,Volume
Ticker,XOM,XOM,XOM,XOM,XOM
Date,,,,,
1993-01-04,5.252469539642334,5.284562021554609,5.241772045671576,5.241772045671576,3788400
1993-01-05,5.305955410003662,5.316652900749638,5.241770465527812,5.252467956273787,2935600
1993-01-06,5.2845611572265625,5.3273511261109885,5.2738636650054564,5.2952586494476686,3002400
1993-01-07,5.273863792419434,5.3380487472967495,5.263166299939881,5.284561284898986,4107600
1993-01-08,5.1882829666137695,5.231072929225017,5.145493004002522,5.231072929225017,5075600
1993-01-11,5.177586078643799,5.220376046235896,5.166888586745774,5.166888586745774,3474800
1993-01-12,5.13479471206665,5.188282156984012,5.113399734099707,5.188282156984012,4274400
1993-01-13,5.156190872192383,5.198980837936718,5.134795889320215,5.134795889320215,5813600
1993-01-14,5.16688871383667,5.1989811903201275,5.113401253030908,5.188283698158975,3813200
1993-01-15,5.145495414733887,5.166890406063342,5.124100423404432,5.166890406063342,8676000
1993-01-18,5.0813069343566895,5.13479437577097,5.0492144695081205,5.13479437577097,4979600
1993-01-19,5.038514614105225,5.081304547133719,5.017119647590977,5.070607063876595,4386400
1993-01-20,5.006425857543945,5.049215822138338,4.995728366395347,5.0385183309897394,5584800
1993-01-21,4.974332809448242,4.995727789273826,4.942240339709866,4.985030299361035,5140400
1993-01-22,4.974332809448242,5.0171227690994105,4.952937829622659,4.974332809448242,5110800
1993-01-25,5.1882829666137695,5.1882829666137695,4.995728134863155,4.995728134863155,8683200
1993-01-26,5.241769313812256,5.284559267394396,5.18828187183458,5.20967684862565,7774800
1993-01-27,5.177586078643799,5.220376046235896,5.166888586745774,5.220376046235896,3419200
1993-01-28,5.273863792419434,5.273863792419434,5.156191375144355,5.166888867623908,4399200
1993-01-29,5.2310709953308105,5.241768482028829,5.188281048538738,5.241768482028829,4369600
1993-02-01,5.2631659507751465,5.2631659507751465,5.231073475465542,5.252468459005279,3186400
1993-02-02,5.3273491859436035,5.338046674268792,5.252466767667288,5.2738617443176645,3359600
1993-02-03,5.348744869232178,5.3701398487091065,5.273862441062927,5.30595491027832,5699600
1993-02-04,5.367792129516602,5.519302391236828,5.3245034833108225,5.346147806413712,4631600
1993-02-05,5.356969833374023,5.367791994653567,5.31368118825585,5.367791994653567,4625200
1993-02-08,5.443546295166016,5.454368454798552,5.346146858473184,5.346146858473184,6978800
1993-02-09,5.411081314086914,5.421903476715088,5.400259151458741,5.411081314086914,3283600
1993-02-10,5.400258541107178,5.400258541107178,5.35696989548708,5.3786142182971295,3584400
1993-02-11,5.400258541107178,5.432725025322251,5.3786142182971295,5.400258541107178,3760400
1993-02-12,5.346148490905762,5.421903631465155,5.335326327968706,5.3677928167798745,3442800
1993-02-16,5.37861442565918,5.411080911125936,5.3136814547256686,5.3136814547256686,6701600
1993-02-17,5.346148490905762,5.389437142653986,5.346148490905762,5.3677928167798745,5484000
1993-02-18,5.356969833374023,5.389436317212654,5.259570381858133,5.367791994653567,6236800
1993-02-19,5.562588214874268,5.562588214874268,5.3569672497330005,5.378611561853134,9307600
1993-02-22,5.5842366218566895,5.6167031138442285,5.519303637881611,5.540947965873304,7378800
1993-02-23,5.497654914855957,5.584232157609595,5.4760106041675485,5.584232157609595,6348000
1993-02-24,5.497654914855957,5.5192992255443665,5.4760106041675485,5.497654914855957,3684800
1993-02-25,5.508479118347168,5.508479118347168,5.454368321506823,5.497656958979099,4029200
1993-02-26,5.508479118347168,5.519301277715237,5.454368321506823,5.497656958979099,5196400
1993-03-01,5.530122756958008,5.551767073032208,5.486834124809609,5.497656282846709,2918400
1993-03-02,5.5842366218566895,5.5842366218566895,5.519303637881611,5.519303637881611,4580800
1993-03-03,5.540945053100586,5.605878002941608,5.508478578180075,5.595055844634771,4289200
1993-03-04,5.573410511016846,5.5950548236809885,5.519299729356488,5.551766198352703,4234400
