Price,Close,High,Low,Open,Volume
Ticker,TLT,TLT,TLT,TLT,TLT
Date,,,,,
2002-07-30,36.24283218383789,36.41177788751738,36.24283218383789,36.3450889724828,6100
2002-07-31,36.691864013671875,36.811904728500195,36.41177466563716,36.4340020407225,29400
2002-08-01,36.90082550048828,36.90971577321586,36.696315308361655,36.696315308361655,25000
2002-08-02,37.27874755859375,37.38989469108326,36.84749614182384,36.97198377944279,52800
2002-08-05,37.443233489990234,37.54104347521314,37.27873457012079,37.36320744680241,61100
2002-08-06,37.123138427734375,37.30097449978836,36.998654194878874,37.28763738797398,64900
2002-08-07,37.21201705932617,37.407636879550054,37.06085875601682,37.16755893434916,40300
2002-08-08,37.21201705932617,37.24313808600383,37.06085875601682,37.15866866612876,40900
2002-08-09,37.736663818359375,37.736663818359375,37.345427230377794,37.345427230377794,35900
2002-08-12,37.96784210205078,38.54580486607627,37.852248192469844,37.923383949731836,32100
2002-08-13,38.4346809387207,38.44357460970495,37.95452785576191,38.13680740763941,75400
2002-08-14,38.58137130737305,39.07931141383762,38.56803420136819,38.88369148059449,130000
2002-08-15,38.24347686767578,38.45688070391944,38.16789768498197,38.403528896873794,87100
2002-08-16,37.81669998168945,38.46579884056269,37.70999968224297,38.43023433537478,85000
2002-08-19,37.932289123535156,37.94117940071528,37.661089878338814,37.81225172592837,47300
2002-08-20,38.3546257019043,38.36351936612748,38.05675239727002,38.06564606149319,40800
2002-08-21,38.15011215209961,38.27904313644121,38.07008614085099,38.092316907507346,40000
2002-08-22,37.81669998168945,38.03455080765028,37.81669998168945,38.03455080765028,34400
2002-08-23,38.190128326416016,38.21235570199077,37.8789145409195,37.8789145409195,20100
2002-08-26,38.22573471069336,38.32798820362477,38.087909918738134,38.10124703590812,23900
2002-08-27,37.98560333251953,38.092303512684595,37.87889976041689,37.967819403835755,301800
2002-08-28,38.17680358886719,38.31462489466577,38.16346308887443,38.25238279579286,18100
2002-08-29,38.483558654785156,38.61693648940352,38.39019552732799,38.57247834184381,135700
2002-08-30,38.71474075317383,38.736968127713794,38.43464802007261,38.56802583506735,78100
2002-09-03,39.30992126464844,39.30992126464844,38.84556013698593,38.88128100985149,102100
2002-09-04,39.30099105834961,39.426014118835354,39.22062079415952,39.30545701928519,66300
2002-09-05,39.51533508300781,39.5823109085227,39.01525277989958,39.54659001404383,648400
2002-09-06,39.05094528198242,39.37689224568801,38.93485416259734,39.27866156055675,140000
2002-09-09,38.9929084777832,39.21615883653859,38.96165356381866,39.06881278219281,83800
2002-09-10,39.180423736572266,39.2920488754229,38.84554832002036,38.92145259687186,336000
2002-09-11,38.97509002685547,38.97955599267005,38.733978970875185,38.84560427050307,177700
2002-09-12,39.27867889404297,39.354583218220775,39.05542847714517,39.05989443931182,43400
2002-09-13,39.64035415649414,39.71179594427924,39.372454265363906,39.43943008977945,155100
2002-09-16,39.707305908203125,39.83679151516351,39.69391143274685,39.82785959383942,73000
2002-09-17,39.78323745727539,39.88146821994667,39.452827679089246,39.5778474110228,75400
2002-09-18,39.792198181152344,39.988656442133724,39.747545324691664,39.81005864242968,196600
2002-09-19,40.060062408447266,40.0823854101499,39.854672397512324,40.05113048254091,109900
2002-09-20,39.872528076171875,39.97075540367763,39.76536541729634,39.93950047980507,113500
2002-09-23,40.22975540161133,40.29226529392336,40.08240919550426,40.18510596517897,163200
2002-09-24,40.48870086669922,40.604792052000384,40.27884490322337,40.31903175474478,251900
2002-09-25,39.99753952026367,40.34580957343383,39.85465941110334,40.22971842020028,127200
2002-09-26,39.90376663208008,39.97520496882955,39.56442516456308,39.76088655205132,429000
2002-09-27,40.20293045043945,40.20293045043945,39.952891104908105,39.9752140998845,298200
2002-09-30,40.36372375488281,40.586974435599494,40.22084345548554,40.4798150626853,297800
2002-10-01,39.86302947998047,40.02438224082292,39.80028156404229,39.96163432488474,257500
2002-10-02,40.09163284301758,40.10508176376924,39.81822958601823,39.99751091479751,91000
2002-10-03,39.993045806884766,40.118541756509444,39.80031890724453,40.024419794290935,29900
2002-10-04,40.11852264404297,40.21264456142179,39.621018638250234,39.621018638250234,131000
2002-10-07,40.18574142456055,40.32019980041646,40.09609908781777,40.29330880914638,433800
2002-10-08,40.19921112060547,40.5712159286465,40.051303740566986,40.11405170430921,530900
2002-10-09,40.40537643432617,40.50846089125582,40.31573405927108,40.47260736074075,402900
2002-10-10,40.087127685546875,40.41431273855415,40.01541383203558,40.41431273855415,97100
2002-10-11,39.612056732177734,39.988547859598164,39.46863235494778,39.93476243582185,421800
2002-10-14,39.55376434326172,39.68822609976583,39.47308797326016,39.66581466718031,18300
2002-10-15,38.61703109741211,39.127980377935934,38.61254812631839,38.99351860116439,297100
2002-10-16,38.63496780395508,38.8142490872612,38.496026433658216,38.8142490872612,125200
2002-10-17,38.164337158203125,38.34809789273816,38.12848023748755,38.15985418823764,233400
2002-10-18,38.26297378540039,38.27193631327704,37.7744322382012,38.10610048174942,459100
2002-10-21,37.89094924926758,38.36604167015785,37.87302078175212,38.32122221112197,134900
2002-10-22,37.78336715698242,38.02987579548215,37.74751023590836,38.02987579548215,205000
2002-10-23,37.796817779541016,38.18675073577768,37.729586898274626,37.985061511483174,127800
2002-10-24,38.12849044799805,38.209166831460514,37.684772048707025,37.72062897902481,339600
2002-10-25,38.267452239990234,38.348128666589936,38.16436778458929,38.2540067388081,146100
2002-10-28,38.21366882324219,38.38398419776744,38.186774402364776,38.348127249602086,97800
2002-10-29,38.71113967895508,38.94420280321355,38.44221621776718,38.464627646034124,125000
2002-10-30,38.69770050048828,38.85009072811219,38.576687648129194,38.71114941253237,31900
2002-10-31,38.872501373291016,38.93076631294768,38.554275431960626,38.56772434373184,512700
2002-11-01,38.71000289916992,39.13771147308093,38.38134005943971,38.85407348105808,125100
2002-11-04,38.538883209228516,38.60641698715026,38.38130668401819,38.48485893481962,342500
2002-11-05,38.39031219482422,38.53888582937101,38.30927234279059,38.53888582937101,73800
2002-11-06,38.543357849121094,38.77747087973853,38.228205031961444,38.291235595393374,118500
2002-11-07,39.49788284301758,39.49788284301758,39.10168623487207,39.19173247986561,147900
2002-11-08,39.81755828857422,39.91210431475821,39.59694745923024,39.79954903097993,294700
2002-11-11,40.03362274169922,40.03362274169922,39.79950949536381,39.8670432855277,70000
2002-11-12,39.80405044555664,40.13721310904503,39.78604118875801,40.13721310904503,494300
2002-11-13,39.889556884765625,39.93007853752756,39.60141588590259,39.82202308677018,104700
2002-11-14,39.06116485595703,39.461861167906996,39.06116485595703,39.461861167906996,118000
2002-11-15,39.21875,39.2727777543857,38.83606285244676,38.962124177766555,110700
2002-11-18,39.39433288574219,39.45286037231796,39.151213162029165,39.178225319692864,32200
2002-11-19,39.53837203979492,39.722964130281056,39.39880475619551,39.59689947987295,51800
2002-11-20,39.151214599609375,39.71849397576951,39.083680768057135,39.709487632942086,307400
2002-11-21,38.773067474365234,38.94415036657326,38.6560089507931,38.94415036657326,323200
2002-11-22,38.736976623535156,38.894553129416565,38.66493968661211,38.86754099552552,184800
2002-11-25,38.66494369506836,38.890053993925115,38.62892865778331,38.718971403361785,288200
2002-11-26,39.151214599609375,39.17822675826493,38.78653671810597,38.80904570534781,377800
2002-11-27,38.26875686645508,38.86755118062651,38.250747627505056,38.83153270272648,325600
2002-11-29,38.51639938354492,38.55241444502477,38.33180716571687,38.340813507271484,31700
2002-12-02,38.55211639404297,38.62448241891045,38.05913578939069,38.15411360907777,284900
2002-12-03,38.60638427734375,38.760156877854996,38.49783870930044,38.760156877854996,113800
2002-12-04,38.80537033081055,38.89582435604978,38.692301073961566,38.85059734343017,129000
2002-12-05,38.904911041259766,39.02250416350269,38.56118260793994,38.57022664014155,206400
2002-12-06,38.97270965576172,39.3888036824999,38.787277873441354,39.34810040733194,440500
