Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
1993-01-04,4.928883075714111,4.96078510984691,4.896981041581313,4.9448342753261105,1710900
1993-01-05,4.84912633895874,4.944832777457326,4.84912633895874,4.8969795582080335,3233700
1993-01-06,4.896979808807373,4.896979808807373,4.81722419591639,4.833175391512809,2238600
1993-01-07,4.80126953125,4.912926715985264,4.80126953125,4.896975898217835,4186800
1993-01-08,4.833174705505371,4.849125898837721,4.721517082361033,4.801272683931727,2413200
1993-01-11,4.896979808807373,4.912930639312684,4.849126587109227,4.849126587109227,2197500
1993-01-12,4.928883075714111,4.9448342753261105,4.865078642357315,4.865078642357315,3238200
1993-01-13,4.992683410644531,5.0086342320715165,4.944830216181775,4.96078103760876,3203100
1993-01-14,5.152194976806641,5.152194976806641,5.008635361058862,5.024586551172276,5953500
1993-01-15,5.168147087097168,5.231951493820075,5.15219589414368,5.168147087097168,3752400
1993-01-18,5.263855457305908,5.327659887576374,5.152197795605389,5.168148994445801,2661000
1993-01-19,5.311706066131592,5.4871677063788775,5.2000484595609535,5.295754875166929,9706200
1993-01-20,5.152194976806641,5.327656972781249,5.13624415178421,5.327656972781249,8171400
1993-01-21,5.072439193725586,5.2159987935480085,5.024585993784779,5.2159987935480085,5445600
1993-01-22,5.088391304016113,5.168146530004363,5.07244011278206,5.104342130159159,2596200
1993-01-25,5.04054069519043,5.120295962314462,5.0245894957291455,5.088393928483089,1448100
1993-01-26,5.136246204376221,5.136246204376221,5.072441783515461,5.088392980003433,3066000
1993-01-27,5.3276567459106445,5.3276567459106445,5.1840971362761445,5.200047960619333,6870900
1993-01-28,5.168147087097168,5.375511135128329,5.15219589414368,5.359559942174841,4331400
1993-01-29,5.1841020584106445,5.2000528978986305,5.1521996492520445,5.2000528978986305,1787400
1993-02-01,5.231948375701904,5.247899194058032,5.184095190451859,5.215997192254946,2808600
1993-02-02,5.247904300689697,5.279806698627205,5.216002267843375,5.263855499658451,1596300
1993-02-03,5.311706066131592,5.327657257096255,5.247901667363941,5.247901667363941,2324100
1993-02-04,5.375512599945068,5.423365826754398,5.327659373135739,5.407414629454239,3925500
1993-02-05,5.471217155456543,5.487167982131799,5.391461561716181,5.391461561716181,5154300
1993-02-08,5.455268859863281,5.471220060097965,5.423366824485129,5.455268859863281,1293300
1993-02-09,5.407413959503174,5.439315985059846,5.375511933946502,5.42336515482706,2384700
1993-02-10,5.407413959503174,5.407413959503174,5.359560738622615,5.407413959503174,2068800
1993-02-11,5.42336368560791,5.471216893524771,5.391461303602668,5.407412494605289,2583900
1993-02-12,5.3436079025268555,5.455265505327037,5.3436079025268555,5.439314314901014,2259300
1993-02-16,5.168147087097168,5.327657921358911,5.056489466604843,5.327657921358911,4684800
1993-02-17,5.120292663574219,5.152194676852772,5.072439461110909,5.136243852758976,4813200
1993-02-18,5.072439193725586,5.2479008051449,5.024585993784779,5.2479008051449,3295500
